,xbox,ybox,width,high,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xege,xegvy,yege,yegvx,lettr,prediction
80,3.0,7.0,5.0,5.0,3.0,12.0,2.0,3.0,2.0,10.0,2.0,9.0,2.0,6.0,3.0,8.0,A,A
81,3.0,5.0,4.0,4.0,2.0,7.0,8.0,5.0,4.0,7.0,7.0,7.0,6.0,9.0,2.0,5.0,N,N
82,6.0,10.0,9.0,7.0,8.0,3.0,7.0,4.0,5.0,10.0,11.0,10.0,7.0,9.0,3.0,7.0,M,M
83,8.0,14.0,7.0,8.0,4.0,5.0,10.0,6.0,3.0,12.0,5.0,4.0,4.0,10.0,4.0,8.0,P,P
84,6.0,12.0,5.0,7.0,4.0,8.0,5.0,4.0,3.0,9.0,9.0,11.0,4.0,9.0,8.0,10.0,C,C
85,6.0,10.0,8.0,8.0,7.0,8.0,5.0,7.0,5.0,7.0,6.0,6.0,3.0,9.0,8.0,9.0,P,B
86,2.0,3.0,3.0,1.0,1.0,5.0,9.0,3.0,3.0,10.0,8.0,8.0,4.0,8.0,0.0,8.0,N,N
87,3.0,4.0,4.0,3.0,2.0,9.0,10.0,3.0,2.0,5.0,9.0,7.0,6.0,11.0,0.0,8.0,W,W
88,3.0,8.0,5.0,6.0,6.0,8.0,7.0,4.0,1.0,8.0,7.0,8.0,5.0,10.0,4.0,7.0,V,V
89,6.0,9.0,9.0,8.0,10.0,8.0,7.0,5.0,5.0,7.0,6.0,8.0,8.0,9.0,9.0,3.0,V,N
90,6.0,7.0,9.0,5.0,7.0,4.0,7.0,3.0,5.0,10.0,10.0,11.0,8.0,6.0,3.0,7.0,M,M
91,4.0,8.0,5.0,6.0,4.0,7.0,7.0,4.0,8.0,11.0,8.0,9.0,2.0,9.0,5.0,7.0,E,E
92,6.0,11.0,8.0,8.0,9.0,5.0,8.0,3.0,4.0,8.0,8.0,9.0,7.0,9.0,5.0,4.0,N,N
93,8.0,10.0,8.0,7.0,4.0,3.0,10.0,3.0,7.0,11.0,12.0,6.0,1.0,11.0,3.0,5.0,Y,Y
94,4.0,8.0,5.0,6.0,3.0,6.0,8.0,4.0,1.0,7.0,8.0,8.0,8.0,9.0,0.0,8.0,W,W
95,6.0,7.0,8.0,6.0,6.0,6.0,6.0,5.0,6.0,8.0,5.0,8.0,3.0,6.0,5.0,6.0,O,O
96,4.0,4.0,4.0,6.0,2.0,7.0,7.0,14.0,2.0,5.0,6.0,8.0,6.0,8.0,0.0,8.0,N,N
97,4.0,8.0,5.0,6.0,5.0,7.0,10.0,8.0,5.0,8.0,5.0,6.0,3.0,6.0,7.0,11.0,H,R
98,4.0,7.0,5.0,5.0,3.0,8.0,7.0,8.0,5.0,10.0,6.0,8.0,3.0,8.0,3.0,8.0,O,O
99,4.0,8.0,5.0,6.0,4.0,7.0,7.0,9.0,4.0,6.0,4.0,6.0,3.0,7.0,3.0,8.0,N,O
100,4.0,9.0,5.0,6.0,2.0,7.0,6.0,15.0,1.0,7.0,7.0,8.0,3.0,8.0,0.0,8.0,H,H
101,7.0,11.0,8.0,9.0,4.0,3.0,9.0,6.0,7.0,11.0,11.0,10.0,3.0,9.0,2.0,6.0,U,U
102,2.0,7.0,3.0,5.0,1.0,6.0,10.0,0.0,3.0,7.0,11.0,8.0,1.0,11.0,0.0,8.0,Y,Y
103,6.0,8.0,7.0,6.0,4.0,6.0,9.0,4.0,8.0,11.0,7.0,6.0,2.0,8.0,5.0,5.0,S,S
104,5.0,9.0,6.0,7.0,5.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,2.0,8.0,9.0,8.0,S,S
105,2.0,3.0,2.0,2.0,1.0,7.0,11.0,2.0,6.0,7.0,10.0,8.0,1.0,11.0,1.0,7.0,T,T
106,2.0,3.0,3.0,2.0,1.0,4.0,7.0,4.0,6.0,10.0,9.0,13.0,1.0,9.0,2.0,7.0,C,C
107,4.0,10.0,7.0,7.0,2.0,9.0,8.0,5.0,3.0,5.0,14.0,8.0,3.0,9.0,0.0,8.0,V,V
108,5.0,8.0,5.0,6.0,3.0,6.0,12.0,4.0,7.0,12.0,9.0,4.0,2.0,12.0,2.0,4.0,T,T
109,7.0,12.0,6.0,6.0,3.0,7.0,8.0,2.0,7.0,9.0,7.0,8.0,5.0,8.0,3.0,7.0,K,K
110,3.0,8.0,4.0,6.0,4.0,7.0,8.0,7.0,6.0,7.0,7.0,5.0,3.0,8.0,3.0,7.0,D,D
111,2.0,1.0,3.0,1.0,1.0,7.0,8.0,4.0,0.0,7.0,8.0,8.0,6.0,10.0,0.0,8.0,W,W
112,2.0,9.0,3.0,7.0,2.0,8.0,7.0,0.0,7.0,13.0,6.0,9.0,0.0,8.0,1.0,8.0,I,I
113,3.0,8.0,3.0,6.0,2.0,3.0,7.0,6.0,10.0,7.0,6.0,14.0,0.0,8.0,7.0,8.0,E,E
114,6.0,9.0,8.0,7.0,4.0,6.0,12.0,6.0,6.0,13.0,7.0,3.0,2.0,9.0,2.0,5.0,F,F
115,3.0,9.0,4.0,7.0,3.0,7.0,7.0,0.0,7.0,13.0,6.0,8.0,0.0,8.0,1.0,8.0,I,I
116,5.0,10.0,7.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0,6.0,9.0,3.0,8.0,4.0,8.0,H,H
117,4.0,7.0,4.0,5.0,2.0,7.0,5.0,13.0,5.0,7.0,14.0,7.0,3.0,9.0,0.0,8.0,U,U
118,2.0,3.0,3.0,2.0,1.0,6.0,8.0,7.0,7.0,9.0,7.0,12.0,1.0,10.0,3.0,9.0,C,C
119,5.0,9.0,6.0,7.0,7.0,7.0,6.0,6.0,4.0,7.0,7.0,8.0,5.0,10.0,9.0,12.0,F,F
120,3.0,8.0,5.0,6.0,3.0,9.0,2.0,2.0,3.0,8.0,2.0,8.0,2.0,6.0,3.0,7.0,A,A
121,3.0,7.0,5.0,5.0,3.0,7.0,8.0,2.0,9.0,11.0,7.0,7.0,1.0,8.0,6.0,7.0,Z,Z
122,3.0,7.0,5.0,5.0,2.0,10.0,5.0,2.0,8.0,10.0,1.0,7.0,3.0,7.0,3.0,10.0,X,X
123,3.0,3.0,5.0,2.0,2.0,5.0,10.0,3.0,4.0,10.0,8.0,7.0,5.0,8.0,1.0,8.0,N,N
124,6.0,9.0,5.0,4.0,3.0,10.0,6.0,5.0,5.0,10.0,2.0,8.0,6.0,6.0,4.0,9.0,R,R
125,3.0,3.0,3.0,4.0,3.0,7.0,7.0,5.0,5.0,7.0,6.0,6.0,5.0,8.0,5.0,10.0,B,B
126,5.0,9.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,10.0,5.0,6.0,3.0,7.0,6.0,8.0,B,B
127,5.0,6.0,5.0,4.0,2.0,5.0,8.0,6.0,8.0,9.0,8.0,8.0,3.0,9.0,2.0,5.0,U,U
128,4.0,4.0,6.0,5.0,4.0,8.0,9.0,4.0,5.0,7.0,6.0,9.0,3.0,7.0,8.0,8.0,J,J
129,3.0,7.0,4.0,5.0,2.0,1.0,11.0,4.0,4.0,11.0,11.0,8.0,0.0,8.0,2.0,7.0,F,F
130,6.0,8.0,9.0,6.0,6.0,11.0,6.0,2.0,5.0,9.0,3.0,6.0,9.0,7.0,2.0,9.0,M,M
131,1.0,1.0,2.0,1.0,1.0,7.0,7.0,12.0,1.0,7.0,6.0,8.0,3.0,8.0,0.0,8.0,H,H
132,2.0,1.0,4.0,2.0,1.0,8.0,1.0,2.0,2.0,7.0,2.0,8.0,2.0,5.0,2.0,7.0,A,A
133,5.0,10.0,4.0,5.0,3.0,6.0,6.0,6.0,2.0,9.0,6.0,9.0,5.0,9.0,4.0,8.0,O,O
134,1.0,0.0,1.0,1.0,1.0,4.0,7.0,5.0,8.0,7.0,6.0,13.0,0.0,8.0,6.0,10.0,E,E
135,3.0,3.0,3.0,1.0,1.0,5.0,8.0,5.0,7.0,10.0,9.0,8.0,3.0,10.0,2.0,6.0,U,U
136,3.0,7.0,5.0,5.0,3.0,10.0,4.0,1.0,2.0,8.0,3.0,9.0,2.0,4.0,2.0,7.0,A,A
137,4.0,8.0,5.0,6.0,3.0,5.0,8.0,1.0,8.0,10.0,9.0,9.0,2.0,9.0,3.0,6.0,X,X
138,5.0,8.0,7.0,6.0,4.0,8.0,8.0,4.0,9.0,11.0,3.0,8.0,2.0,6.0,4.0,9.0,S,S
139,1.0,3.0,2.0,2.0,1.0,10.0,7.0,1.0,5.0,11.0,4.0,8.0,0.0,7.0,0.0,7.0,J,J
140,5.0,11.0,8.0,8.0,5.0,6.0,7.0,2.0,7.0,10.0,7.0,10.0,4.0,8.0,4.0,8.0,K,K
141,2.0,6.0,2.0,4.0,1.0,9.0,5.0,0.0,6.0,13.0,5.0,9.0,0.0,8.0,1.0,8.0,I,I
142,7.0,11.0,10.0,8.0,6.0,6.0,11.0,3.0,6.0,13.0,6.0,3.0,0.0,10.0,3.0,8.0,P,P
143,2.0,1.0,2.0,1.0,0.0,8.0,15.0,1.0,4.0,6.0,10.0,8.0,0.0,8.0,0.0,8.0,T,T
144,1.0,1.0,2.0,2.0,1.0,6.0,8.0,6.0,6.0,9.0,7.0,12.0,1.0,9.0,3.0,10.0,C,C
145,4.0,9.0,4.0,7.0,4.0,7.0,8.0,13.0,1.0,7.0,5.0,8.0,3.0,8.0,0.0,8.0,H,H
146,2.0,4.0,4.0,3.0,2.0,10.0,2.0,2.0,2.0,9.0,2.0,9.0,2.0,7.0,3.0,9.0,A,A
147,6.0,11.0,9.0,8.0,11.0,7.0,7.0,3.0,6.0,6.0,7.0,11.0,6.0,11.0,9.0,7.0,L,L
148,3.0,6.0,4.0,4.0,3.0,7.0,12.0,4.0,6.0,7.0,11.0,8.0,2.0,12.0,1.0,7.0,T,T
149,2.0,8.0,4.0,6.0,2.0,12.0,2.0,4.0,3.0,11.0,2.0,10.0,3.0,6.0,3.0,9.0,A,A
150,3.0,9.0,5.0,7.0,3.0,8.0,9.0,4.0,1.0,6.0,12.0,8.0,2.0,10.0,0.0,8.0,V,V
151,5.0,7.0,6.0,5.0,5.0,8.0,8.0,8.0,5.0,6.0,7.0,9.0,4.0,8.0,4.0,5.0,U,U
152,2.0,9.0,2.0,6.0,3.0,7.0,7.0,0.0,7.0,7.0,6.0,8.0,0.0,8.0,2.0,8.0,I,I
153,8.0,14.0,8.0,8.0,5.0,8.0,5.0,2.0,9.0,12.0,6.0,9.0,3.0,7.0,6.0,7.0,Z,Z
154,4.0,7.0,6.0,5.0,6.0,8.0,8.0,4.0,2.0,8.0,7.0,8.0,7.0,11.0,5.0,8.0,V,V
155,5.0,9.0,7.0,6.0,7.0,9.0,7.0,5.0,5.0,6.0,7.0,6.0,10.0,7.0,4.0,6.0,M,M
156,4.0,8.0,6.0,6.0,4.0,6.0,5.0,2.0,8.0,7.0,2.0,8.0,1.0,6.0,3.0,7.0,L,L
157,3.0,3.0,5.0,5.0,2.0,9.0,6.0,9.0,7.0,7.0,5.0,10.0,3.0,8.0,4.0,8.0,O,O
158,4.0,2.0,5.0,4.0,4.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,2.0,8.0,7.0,10.0,B,B
159,8.0,15.0,7.0,8.0,4.0,8.0,2.0,3.0,2.0,8.0,5.0,12.0,5.0,4.0,5.0,5.0,A,A
160,6.0,9.0,9.0,6.0,7.0,9.0,6.0,1.0,7.0,10.0,3.0,8.0,3.0,7.0,3.0,9.0,K,K
161,3.0,7.0,4.0,5.0,4.0,7.0,7.0,5.0,6.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,H,H
162,7.0,9.0,7.0,7.0,5.0,6.0,10.0,1.0,8.0,11.0,9.0,5.0,2.0,9.0,3.0,4.0,T,T
163,6.0,5.0,7.0,4.0,4.0,4.0,11.0,2.0,2.0,9.0,9.0,8.0,7.0,11.0,1.0,7.0,W,W
164,3.0,8.0,3.0,5.0,1.0,1.0,12.0,4.0,5.0,12.0,11.0,8.0,0.0,8.0,2.0,6.0,F,F
165,3.0,3.0,5.0,4.0,1.0,7.0,6.0,3.0,0.0,7.0,0.0,8.0,2.0,7.0,1.0,8.0,A,A
166,3.0,8.0,3.0,6.0,3.0,3.0,6.0,5.0,9.0,5.0,4.0,13.0,0.0,8.0,6.0,9.0,E,E
167,4.0,9.0,5.0,7.0,4.0,7.0,7.0,12.0,1.0,7.0,9.0,8.0,8.0,6.0,0.0,8.0,M,M
168,4.0,9.0,5.0,7.0,6.0,7.0,8.0,9.0,6.0,7.0,6.0,6.0,2.0,8.0,8.0,10.0,B,B
169,3.0,7.0,5.0,5.0,6.0,7.0,8.0,6.0,4.0,6.0,6.0,8.0,5.0,8.0,7.0,9.0,M,M
170,6.0,9.0,6.0,7.0,4.0,5.0,8.0,0.0,8.0,8.0,9.0,5.0,2.0,11.0,4.0,4.0,Y,Y
171,4.0,9.0,6.0,7.0,3.0,6.0,12.0,3.0,4.0,7.0,12.0,9.0,3.0,10.0,1.0,8.0,V,V
172,2.0,8.0,3.0,6.0,3.0,8.0,8.0,7.0,6.0,7.0,4.0,6.0,2.0,7.0,8.0,8.0,S,S
173,2.0,1.0,2.0,2.0,1.0,6.0,8.0,7.0,7.0,8.0,7.0,12.0,1.0,9.0,4.0,10.0,C,C
174,4.0,9.0,6.0,6.0,8.0,7.0,7.0,6.0,3.0,7.0,6.0,7.0,8.0,7.0,9.0,9.0,H,H
175,5.0,8.0,5.0,6.0,4.0,8.0,6.0,11.0,4.0,8.0,13.0,7.0,3.0,9.0,0.0,8.0,U,U
176,6.0,10.0,6.0,6.0,4.0,7.0,10.0,5.0,2.0,11.0,5.0,4.0,4.0,11.0,5.0,7.0,P,P
177,3.0,8.0,4.0,6.0,2.0,7.0,7.0,4.0,13.0,10.0,6.0,8.0,0.0,8.0,8.0,8.0,Z,Z
178,3.0,4.0,5.0,2.0,2.0,7.0,7.0,2.0,8.0,11.0,7.0,9.0,2.0,8.0,4.0,8.0,E,E
179,5.0,9.0,7.0,6.0,4.0,4.0,10.0,3.0,4.0,9.0,10.0,9.0,5.0,8.0,1.0,8.0,N,N
180,6.0,10.0,5.0,6.0,3.0,5.0,9.0,6.0,3.0,10.0,5.0,6.0,5.0,9.0,4.0,7.0,P,P
181,4.0,5.0,5.0,4.0,4.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,3.0,8.0,3.0,6.0,H,H
182,6.0,11.0,6.0,8.0,5.0,6.0,11.0,3.0,7.0,11.0,9.0,5.0,2.0,12.0,2.0,4.0,T,T
183,5.0,5.0,5.0,8.0,4.0,7.0,9.0,10.0,8.0,7.0,5.0,7.0,2.0,8.0,9.0,10.0,B,B
184,5.0,10.0,6.0,7.0,2.0,7.0,4.0,14.0,6.0,7.0,15.0,8.0,3.0,9.0,0.0,8.0,U,U
185,3.0,4.0,4.0,6.0,2.0,8.0,8.0,6.0,9.0,5.0,5.0,5.0,0.0,8.0,9.0,7.0,S,S
186,5.0,6.0,5.0,8.0,2.0,1.0,14.0,5.0,3.0,12.0,9.0,5.0,0.0,8.0,3.0,6.0,F,F
187,3.0,9.0,4.0,7.0,4.0,9.0,6.0,1.0,6.0,11.0,4.0,7.0,0.0,6.0,1.0,6.0,J,J
188,3.0,6.0,4.0,4.0,4.0,6.0,7.0,5.0,5.0,7.0,6.0,7.0,3.0,7.0,4.0,9.0,R,B
189,3.0,2.0,3.0,4.0,3.0,7.0,8.0,5.0,7.0,7.0,5.0,9.0,2.0,8.0,5.0,10.0,E,E
190,6.0,9.0,6.0,4.0,4.0,8.0,9.0,5.0,3.0,10.0,5.0,5.0,5.0,10.0,5.0,6.0,P,D
191,2.0,2.0,1.0,4.0,1.0,7.0,7.0,1.0,7.0,7.0,6.0,8.0,0.0,8.0,3.0,8.0,I,I
192,7.0,10.0,9.0,8.0,9.0,7.0,7.0,5.0,5.0,7.0,6.0,7.0,7.0,6.0,9.0,13.0,K,K
193,4.0,10.0,6.0,7.0,4.0,8.0,6.0,8.0,7.0,4.0,5.0,3.0,3.0,8.0,4.0,8.0,D,D
194,4.0,7.0,6.0,5.0,7.0,9.0,6.0,4.0,4.0,6.0,6.0,7.0,7.0,8.0,6.0,7.0,B,B
195,5.0,10.0,7.0,8.0,6.0,7.0,9.0,8.0,5.0,8.0,5.0,6.0,3.0,7.0,7.0,10.0,H,H
196,7.0,10.0,10.0,7.0,7.0,9.0,6.0,2.0,5.0,9.0,5.0,7.0,8.0,6.0,2.0,8.0,M,M
197,6.0,11.0,7.0,8.0,3.0,4.0,13.0,9.0,2.0,10.0,6.0,4.0,1.0,10.0,4.0,8.0,P,P
198,4.0,8.0,6.0,6.0,4.0,8.0,5.0,8.0,4.0,7.0,5.0,8.0,3.0,8.0,3.0,8.0,O,O
