,sepalLength,sepalWidth,petalLength,petalWidth,species,prediction
94,5.8,2.6,4.0,1.2,Iris-versicolor,Iris-versicolor
95,5.0,2.3,3.3,1.0,Iris-versicolor,Iris-versicolor
96,5.6,2.7,4.2,1.3,Iris-versicolor,Iris-versicolor
97,5.7,3.0,4.2,1.2,Iris-versicolor,Iris-versicolor
98,5.7,2.9,4.2,1.3,Iris-versicolor,Iris-versicolor
99,6.2,2.9,4.3,1.3,Iris-versicolor,Iris-versicolor
100,5.1,2.5,3.0,1.1,Iris-versicolor,Iris-versicolor
101,5.7,2.8,4.1,1.3,Iris-versicolor,Iris-versicolor
102,6.3,3.3,6.0,2.5,Iris-virginica,Iris-virginica
103,5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
104,7.1,3.0,5.9,2.1,Iris-virginica,Iris-virginica
105,6.3,2.9,5.6,1.8,Iris-virginica,Iris-virginica
106,6.5,3.0,5.8,2.2,Iris-virginica,Iris-virginica
107,7.6,3.0,6.6,2.1,Iris-virginica,Iris-virginica
108,4.9,2.5,4.5,1.7,Iris-virginica,Iris-versicolor
109,7.3,2.9,6.3,1.8,Iris-virginica,Iris-virginica
110,6.7,2.5,5.8,1.8,Iris-virginica,Iris-virginica
111,7.2,3.6,6.1,2.5,Iris-virginica,Iris-virginica
112,6.5,3.2,5.1,2.0,Iris-virginica,Iris-virginica
113,6.4,2.7,5.3,1.9,Iris-virginica,Iris-virginica
114,6.8,3.0,5.5,2.1,Iris-virginica,Iris-virginica
115,5.7,2.5,5.0,2.0,Iris-virginica,Iris-virginica
116,5.8,2.8,5.1,2.4,Iris-virginica,Iris-virginica
117,6.4,3.2,5.3,2.3,Iris-virginica,Iris-virginica
118,6.5,3.0,5.5,1.8,Iris-virginica,Iris-virginica
119,7.7,3.8,6.7,2.2,Iris-virginica,Iris-virginica
120,7.7,2.6,6.9,2.3,Iris-virginica,Iris-virginica
121,6.0,2.2,5.0,1.5,Iris-virginica,Iris-versicolor
122,6.9,3.2,5.7,2.3,Iris-virginica,Iris-virginica
123,5.6,2.8,4.9,2.0,Iris-virginica,Iris-virginica
124,7.7,2.8,6.7,2.0,Iris-virginica,Iris-virginica
125,6.3,2.7,4.9,1.8,Iris-virginica,Iris-virginica
126,6.7,3.3,5.7,2.1,Iris-virginica,Iris-virginica
127,7.2,3.2,6.0,1.8,Iris-virginica,Iris-virginica
128,6.2,2.8,4.8,1.8,Iris-virginica,Iris-virginica
129,6.1,3.0,4.9,1.8,Iris-virginica,Iris-virginica
130,6.4,2.8,5.6,2.1,Iris-virginica,Iris-virginica
131,7.2,3.0,5.8,1.6,Iris-virginica,Iris-virginica
132,7.4,2.8,6.1,1.9,Iris-virginica,Iris-virginica
133,7.9,3.8,6.4,2.0,Iris-virginica,Iris-virginica
134,6.4,2.8,5.6,2.2,Iris-virginica,Iris-virginica
135,6.3,2.8,5.1,1.5,Iris-virginica,Iris-versicolor
136,6.1,2.6,5.6,1.4,Iris-virginica,Iris-versicolor
137,7.7,3.0,6.1,2.3,Iris-virginica,Iris-virginica
138,6.3,3.4,5.6,2.4,Iris-virginica,Iris-virginica
139,6.4,3.1,5.5,1.8,Iris-virginica,Iris-virginica
140,6.0,3.0,4.8,1.8,Iris-virginica,Iris-virginica
141,6.9,3.1,5.4,2.1,Iris-virginica,Iris-virginica
142,6.7,3.1,5.6,2.4,Iris-virginica,Iris-virginica
143,6.9,3.1,5.1,2.3,Iris-virginica,Iris-virginica
144,5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
145,6.8,3.2,5.9,2.3,Iris-virginica,Iris-virginica
146,6.7,3.3,5.7,2.5,Iris-virginica,Iris-virginica
147,6.7,3.0,5.2,2.3,Iris-virginica,Iris-virginica
148,6.3,2.5,5.0,1.9,Iris-virginica,Iris-virginica
149,6.5,3.0,5.2,2.0,Iris-virginica,Iris-virginica
150,6.2,3.4,5.4,2.3,Iris-virginica,Iris-virginica
151,5.9,3.0,5.1,1.8,Iris-virginica,Iris-virginica
